"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"Medicine Man","44948240","44948240","null","40000000","Feb 07 1992","null","87","Walt Disney Pictures","Original Screenplay","Drama","Contemporary Fiction","John McTiernan","22","5.7","9307"
"Madadayo","48856","48856","null","11900000","Mar 20 1998","null","null","WinStar Cinema","Based on Real Life Events","Drama","Dramatization","Akira Kurosawa","null","7.4","1748"
"Modern Problems","24474312","24474312","null","8000000","Dec 25 1981","null","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","null","4.5","2144"
"Amadeus","51973029","51973029","null","18000000","Sep 19 1984","R","null","Warner Bros.","Based on Play","Drama","Dramatization","Milos Forman","96","8.4","96997"
"Modern Times","163245","163245","null","1500000","Feb 05 2036","null","null","Kino International","null","Comedy","null","null","100","8.5","35773"
"The Mighty Ducks","50752337","50752337","null","10000000","Oct 02 1992","PG","null","Walt Disney Pictures","Original Screenplay","Comedy","Contemporary Fiction","Stephen Herek","8","5.9","15479"
"A Man for All Seasons","28350000","28350000","null","3900000","Dec 12 1966","null","null","Sony Pictures","null","null","null","Fred Zinnemann","85","8.1","12460"
"Megaforce","5675599","5675599","null","18000000","Jun 25 1982","null","null","20th Century Fox","Original Screenplay","Action","Science Fiction","Hal Needham","null","2.5","1446"
"The Mirror Has Two Faces","41267469","41267469","null","42000000","Nov 15 1996","PG-13","127","Sony Pictures","Original Screenplay","Romantic Comedy","Contemporary Fiction","Barbra Streisand","54","6","6055"
"Midnight Cowboy","44785053","44785053","null","3600000","May 25 1969","R","null","MGM","null","null","null","John Schlesinger","90","8","34053"
"Midnight Run","38413606","81613606","null","30000000","Jul 20 1988","null","null","Universal","Original Screenplay","Action","Contemporary Fiction","Martin Brest","96","7.5","24104"
"Major League","49793054","49793054","null","11000000","Apr 07 1989","null","null","Paramount Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","84","6.9","20798"
"The Molly Maguires","2200000","2200000","null","11000000","Dec 31 1969","PG","null","null","null","null","null","Martin Ritt","89","6.8","1304"
"Malevolence","126021","257516","null","200000","Sep 10 2004","R","null","Painted Zebra Releasing","Original Screenplay","Horror","null","null","31","5","248"
"Mad Max 2: The Road Warrior","24600832","24600832","null","2000000","May 21 1982","null","null","Warner Bros.","null","Action","Science Fiction","George Miller","null","null","null"
"It's a Mad Mad Mad Mad World","46300000","60000000","null","9400000","Nov 07 1963","null","null","null","null","null","null","null","null","7.5","14460"
"Mad Max","8750000","99750000","null","200000","Mar 21 1980","null","null","null","null","Action","Science Fiction","George Miller","null","6.9","36548"
"Mad Max Beyond Thunderdome","36230219","36230219","null","10000000","Jul 10 1985","null","null","Warner Bros.","null","Action","Science Fiction","George Miller","null","5.9","24273"
"The Man From Snowy River","20659423","20659423","null","5000000","Nov 03 1982","null","null","20th Century Fox","Original Screenplay","Drama","Historical Fiction","George Miller","80","7","3101"
"Men of War","0","0","null","6000000","Dec 19 1995","null","null","null","null","null","null","null","null","5.2","1435"
"Monty Python and the Holy Grail","3427696","5028948","null","400000","May 10 1975","null","null","null","null","null","null","null","null","8.4","155049"
"Men with Brooms","4239767","4239767","null","7500000","Mar 08 2002","R","null","Artisan","Original Screenplay","Comedy","Contemporary Fiction","null","63","5.8","2559"
"Mutiny on The Bounty","13680000","13680000","null","19000000","Nov 08 1962","null","null","MGM","null","null","null","null","69","7.9","7608"
"Mommie Dearest","19032000","25032000","null","5000000","Sep 18 1981","null","null","Paramount Pictures","Based on Book/Short Story","Drama","Dramatization","Frank Perry","57","6.3","4905"
"March or Die","1000000","1000000","null","7000000","Aug 05 1977","null","null","Sony Pictures","null","null","null","null","null","6.1","1233"
"Memoirs of an Invisible Man","14358033","14358033","null","40000000","Feb 28 1992","null","null","Warner Bros.","Based on Book/Short Story","Comedy","Science Fiction","John Carpenter","24","5.8","8522"
"The Mongol King","900","900","null","7000","Dec 31 2003","Not Rated","null","null","Original Screenplay","Drama","null","null","null","null","null"
"My Own Private Idaho","6401336","6401336","null","2500000","Sep 29 1991","null","null","Fine Line","Based on Book/Short Story","Black Comedy","Contemporary Fiction","Gus Van Sant","84","7","17604"
"Moonraker","70300000","210300000","null","31000000","Jun 29 1979","null","null","MGM","Based on Book/Short Story","Action","Contemporary Fiction","null","64","6.1","26760"
"Money Train","35324232","77224232","null","68000000","Nov 22 1995","R","null","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","Joseph Ruben","17","5.2","13972"
"Metropolitan","2938000","2938000","null","430000","Aug 03 1990","null","null","null","null","null","null","Whit Stillman","88","7.2","3355"
"The Life of Brian","20008693","20008693","null","4000000","Aug 17 1979","Not Rated","null","Rainbow Releasing","Original Screenplay","Comedy","Historical Fiction","null","null","null","null"
"Mallrats","2108367","2108367","null","6100000","Oct 20 1995","R","null","Gramercy","Original Screenplay","Comedy","Contemporary Fiction","Kevin Smith","53","7.1","52807"
"American Desi","902835","1366235","null","250000","Mar 16 2001","Not Rated","null","Eros Entertainment","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","42","6.7","1047"
"Mrs. Winterbourne","10039566","10039566","null","25000000","Apr 19 1996","PG-13","null","Sony Pictures","Based on Book/Short Story","Romantic Comedy","Contemporary Fiction","Richard Benjamin","7","5.8","2987"
"Mrs. Doubtfire","219195051","441286003","null","25000000","Nov 24 1993","PG-13","null","20th Century Fox","Based on Book/Short Story","Comedy","Contemporary Fiction","Chris Columbus","64","6.6","56917"
"Mr. Smith Goes To Washington","9000000","9000000","null","1500000","Dec 31 1938","null","null","Sony/Columbia","Original Screenplay","Drama","null","Frank Capra","97","8.2","33315"
"Mortal Kombat","70433227","122133227","null","20000000","Aug 18 1995","PG-13","null","New Line","Based on Game","Action","Fantasy","Paul Anderson","35","5.4","29605"
"Frankenstein","22006296","112006296","null","45000000","Nov 04 1994","R","null","Sony Pictures","Based on Book/Short Story","Horror","null","Kenneth Branagh","null","6.2","19913"
"The Misfits","8200000","8200000","null","4000000","Dec 31 1960","null","null","null","null","null","null","John Huston","100","7.4","6351"
"My Stepmother Is an Alien","13854000","13854000","null","16000000","Dec 09 1988","null","null","Sony Pictures","Original Screenplay","Comedy","Science Fiction","Richard Benjamin","13","4.8","9073"
"The Man Who Shot Liberty Valance","8000000","8000000","null","3200000","Jan 01 1962","null","null","null","null","null","null","John Ford","97","8.1","22681"
"Mission: Impossible","180981886","456481886","null","80000000","May 21 1996","PG-13","110","Paramount Pictures","Based on TV","Action","Contemporary Fiction","Brian De Palma","null","6.9","86222"
"Meteor","8400000","8400000","null","16000000","Dec 31 1978","null","null","null","null","null","null","Ronald Neame","9","4.7","2969"
"Multiplicity","20133326","20133326","null","45000000","Jul 17 1996","PG-13","117","Sony Pictures","Based on Book/Short Story","Comedy","Science Fiction","Harold Ramis","44","5.7","11935"
"Mutual Appreciation","103509","103509","null","30000","Sep 01 2006","R","null","Goodbye Cruel Releasing","Original Screenplay","Comedy","Contemporary Fiction","null","null","7","1102"
"The Muppet Christmas Carol","27281507","27281507","null","12000000","Dec 11 1992","null","null","Walt Disney Pictures","Based on TV","Comedy","null","null","67","7.5","10853"
"The Man with the Golden Gun","21000000","97600000","null","7000000","Dec 20 1974","null","null","MGM","Based on Book/Short Story","Action","null","Guy Hamilton","52","6.7","22431"
"My Fair Lady","72000000","72000000","null","17000000","Oct 22 1964","null","null","null","Based on Musical/Opera","Musical","Historical Fiction","George Cukor","94","7.9","28039"
"Mystic Pizza","12793213","12793213","null","6000000","Oct 21 1988","null","null","Samuel Goldwyn Films","Original Screenplay","Comedy","Contemporary Fiction","Donald Petrie","82","5.9","8413"
"Namastey London","1207007","6831069","null","8400000","Mar 23 2007","Not Rated","null","Eros Entertainment","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","null","6.7","1511"
"Naturally Native","10508","10508","null","700000","Oct 08 1999","PG-13","null","null","null","null","null","null","null","6.8","91"
"Inchon","4408636","4408636","null","46000000","Sep 17 1982","null","null","MGM","Original Screenplay","Drama","Historical Fiction","null","null","3","326"
"Indiana Jones and the Temple of Doom","179880271","333080271","18998388","28000000","May 23 1984","null","null","Paramount Pictures","Original Screenplay","Adventure","Historical Fiction","Steven Spielberg","85","7.5","110761"
"Indiana Jones and the Last Crusade","197171806","474171806","18740425","48000000","May 24 1989","null","null","Paramount Pictures","Original Screenplay","Adventure","Historical Fiction","Steven Spielberg","89","8.3","171572"
"Neal n' Nikki","100358","329621","null","1300000","Dec 09 2005","Not Rated","null","Yash Raj Films","null","Drama","null","null","null","3.5","494"
"A Nightmare on Elm Street 4: The Dream Master","49369899","49369899","null","13000000","Aug 19 1988","null","null","New Line","Original Screenplay","Horror","Fantasy","Renny Harlin","null","5.2","13310"
"Next Stop, Wonderland","3386698","3456820","null","1000000","Aug 21 1998","R","null","Miramax","Original Screenplay","Romantic Comedy","Contemporary Fiction","Brad Anderson","null","null","null"
"Nighthawks","14600000","19600000","null","5000000","Apr 10 1981","null","null","Universal","Original Screenplay","Action","Contemporary Fiction","null","71","6.3","5649"
"The English Patient","78716374","231716374","null","35000000","Nov 15 1996","R","160","Miramax","Based on Book/Short Story","Drama","Historical Fiction","Anthony Minghella","83","7.3","54484"
"Niagara","2500000","2500000","null","1250000","Jan 21 1953","null","null","20th Century Fox","null","null","null","null","null","7","4698"
"The Naked Gun 2Ω: The Smell of Fear","86930411","86930411","null","23000000","Jun 28 1991","null","null","Paramount Pictures","Based on TV","Comedy","Contemporary Fiction","David Zucker","null","6.6","26384"
"Naked Gun 33 1/3: The Final Insult","51041856","51041856","null","30000000","Mar 18 1994","PG-13","null","Paramount Pictures","Based on TV","Comedy","Contemporary Fiction","Peter Segal","null","6.1","24904"
"National Lampoon's Animal House","141600000","141600000","null","3000000","Jul 28 1978","R","null","Universal","null","null","null","John Landis","90","null","null"
"Night of the Living Dead","12000000","30000000","null","114000","Oct 01 1968","Not Rated","null","Walter Reade Organization","Original Screenplay","Horror","Science Fiction","null","96","6.6","10083"
"No Looking Back","143273","143273","null","5000000","Mar 27 1998","R","null","Gramercy","null","null","null","Edward Burns","38","5.7","1145"
"The Nun's Story","12800000","12800000","null","3500000","Dec 31 1958","null","null","null","null","null","null","Fred Zinnemann","93","7.5","3313"
"A Nightmare on Elm Street","25504513","25504513","null","1800000","Nov 09 1984","null","null","New Line","Original Screenplay","Horror","Fantasy","Wes Craven","95","5.3","12554"
"A Nightmare On Elm Street Part 2: Freddy's Revenge","21163999","21163999","null","3000000","Nov 01 1985","null","null","New Line","Original Screenplay","Horror","Fantasy","null","null","4.9","16222"
"A Nightmare On Elm Street 3: Dream Warriors","44793222","44793222","null","5000000","Feb 27 1987","null","null","New Line","Original Screenplay","Horror","Fantasy","Chuck Russell","null","6.2","17354"
"A Nightmare On Elm Street: The Dream Child","22168359","22168359","null","6000000","Aug 11 1989","null","null","New Line","Original Screenplay","Horror","Fantasy","Stephen Hopkins","null","4.7","10849"
"Freddy's Dead: The Final Nightmare","34872033","34872033","null","5000000","Sep 13 1991","R","null","New Line","Original Screenplay","Horror","Fantasy","null","null","4.5","12779"
"Wes Craven's New Nightmare","18090181","18090181","null","8000000","Oct 14 1994","R","null","New Line","Original Screenplay","Horror","Fantasy","Wes Craven","81","null","null"
"Night of the Living Dead","5835247","5835247","null","4200000","Oct 19 1990","R","null","Sony/Columbia","Remake","Horror","Fantasy","null","67","6.6","10083"
"Notorious","24464742","24464742","null","2000000","Dec 31 1945","null","null","null","null","null","null","Alfred Hitchcock","97","6.3","9811"
"Never Say Never Again","55500000","160000000","null","36000000","Oct 07 1983","null","null","Warner Bros.","Based on Book/Short Story","Action","Contemporary Fiction","null","65","6","21247"
"The Nutcracker","2119994","2119994","null","19000000","Dec 31 1992","null","null","null","null","null","null","Emile Ardolino","50","5.2","561"
"Nowhere to Run","22189039","52189039","null","15000000","Jan 15 1993","null","null","Sony/Columbia","Original Screenplay","Action","Contemporary Fiction","null","26","5","6746"
"Interview with the Vampire: The Vampire Chronicles","105264608","223564608","null","50000000","Nov 11 1994","R","null","Warner Bros.","Based on Book/Short Story","Horror","Fantasy","Neil Jordan","null","7.4","78953"
"The Nutty Professor","128814019","273814019","null","55000000","Jun 28 1996","PG-13","95","Universal","Remake","Comedy","Kids Fiction","Tom Shadyac","67","5.6","32234"
"Die Unendliche Geschichte","21300000","21300000","null","27000000","Jul 20 1984","null","null","Warner Bros.","Based on Book/Short Story","Adventure","Fantasy","Wolfgang Petersen","null","7.4","25704"
"Interview with the Assassin","47329","47329","null","750000","Nov 15 2002","R","null","null","null","null","null","null","67","6.6","1107"
"Nixon","13668249","34668249","null","45000000","Dec 20 1995","R","null","Walt Disney Pictures","Based on Real Life Events","Drama","Dramatization","Oliver Stone","75","7.1","13761"
"New York, New York","13800000","13800000","null","14000000","Jun 22 1977","null","null","MGM","Original Screenplay","Musical","null","Martin Scorsese","63","6.7","1692"
"New York Stories","10763469","10763469","null","15000000","Mar 01 1989","null","null","Walt Disney Pictures","Original Screenplay","Drama","Contemporary Fiction","Francis Ford Coppola","74","6.1","6906"
"Obitaemyy ostrov","0","15000000","null","36500000","Jan 01 2009","null","null","null","Based on Book/Short Story","Action","Science Fiction","null","null","5.5","2229"
"Octopussy","67900000","187500000","null","27500000","Jun 10 1983","null","null","MGM","Based on Book/Short Story","Action","Contemporary Fiction","John Glen","47","6.6","23167"
"On Deadly Ground","38590458","38590458","null","50000000","Feb 18 1994","R","null","Warner Bros.","Original Screenplay","Action","Contemporary Fiction","Steven Seagal","null","3.8","9579"
"One Flew Over the Cuckoo's Nest","108981275","108981275","null","4400000","Nov 19 1975","null","null","MGM","Based on Book/Short Story","null","null","Milos Forman","96","8.9","214457"
"The Offspring","1355728","1355728","null","1100000","Sep 04 1987","null","null","Moviestore Entertainment","Original Screenplay","Horror","Contemporary Fiction","Jeff Burr","null","5.6","424"
"On Her Majesty's Secret Service","22800000","82000000","null","8000000","Dec 18 1969","null","null","MGM","Based on Book/Short Story","Action","null","null","81","6.9","23159"
"The Omen","48570885","48570885","null","2800000","Jun 25 1976","null","null","20th Century Fox","Original Screenplay","Horror","null","Richard Donner","84","5.4","24523"
"The Omega Code","12610552","12678312","null","7200000","Oct 15 1999","PG-13","null","Providence Entertainment","Original Screenplay","Action","Fantasy","null","8","3.3","3814"
"Out of Africa","79096868","258210860","null","31000000","Dec 18 1985","null","null","Universal","Based on Book/Short Story","Drama","Historical Fiction","Sydney Pollack","63","7","19638"
"Out of the Dark","419428","419428","null","1600000","Mar 11 1989","null","null","New Line","null","null","null","null","null","5.1","230"
"Ordinary People","52302978","52302978","null","6000000","Sep 19 1980","null","null","Paramount Pictures","Based on Book/Short Story","Drama","Contemporary Fiction","Robert Redford","91","7","138"
"The Other Side of Heaven","4720371","4720371","null","7000000","Dec 14 2001","PG","null","Excel Entertainment","Based on Book/Short Story","Drama","Dramatization","null","null","6.3","1670"
"On the Down Low","1987","1987","null","10000","May 28 2004","Not Rated","null","Cinema Con Sabor","Original Screenplay","Drama","null","null","null","6.3","113"
"Othello","2844379","2844379","null","11000000","Dec 14 1995","R","null","Sony Pictures","Based on Play","Drama","Historical Fiction","null","68","6.9","4289"
"On the Outs","49772","49772","null","250000","Jul 15 2005","R","null","Fader Films","null","Drama","null","null","null","6.5","445"
"On the Waterfront","9600000","9600000","null","910000","Jul 28 1954","null","null","null","null","null","null","Elia Kazan","100","8.4","41162"
"Outbreak","67823573","67823573","null","50000000","Mar 10 1995","R","null","Warner Bros.","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Wolfgang Petersen","59","6.4","33192"
"The Outsiders","25697647","25697647","null","10000000","Mar 25 1983","PG-13","null","Warner Bros.","Based on Book/Short Story","Drama","Historical Fiction","Francis Ford Coppola","65","7","23607"
"The Oxford Murders","3607","8667348","null","10000000","Aug 06 2010","R","null","Magnolia Pictures","Based on Book/Short Story","Thriller/Suspense","Contemporary Fiction","null","10","6.1","8066"
"Police Academy","81198894","81198894","null","4500000","Mar 23 1984","null","null","Warner Bros.","Original Screenplay","Comedy","Contemporary Fiction","Hugh Wilson","47","6.3","23192"
"Police Academy 7: Mission to Moscow","126247","126247","null","10000000","Aug 26 1994","PG","null","Warner Bros.","Original Screenplay","Comedy","Contemporary Fiction","null","null","2.5","13121"
"Paa","199228","9791282","null","4300000","Dec 04 2009","null","null","Reliance Big Pictures","null","null","null","null","60","7.3","1059"
"Pale Rider","41410568","41410568","null","6900000","Jun 28 1985","null","null","Warner Bros.","Original Screenplay","Western","Historical Fiction","Clint Eastwood","92","7.1","15352"
"Patriot Games","83287363","178100000","null","45000000","Jun 05 1992","null","null","Paramount Pictures","Based on Book/Short Story","Action","Contemporary Fiction","Phillip Noyce","75","6.9","29544"
"The Pallbearer","5656388","5656388","null","8000000","May 03 1996","PG-13","null","Miramax","Original Screenplay","Romantic Comedy","Contemporary Fiction","Matt Reeves","39","4.7","4166"
"Pocahontas","141579773","347100000","null","55000000","Jun 10 1995","G","null","Walt Disney Pictures","Based on Real Life Events","Adventure","Historical Fiction","null","55","6","26690"
"Pocketful of Miracles","5000000","5000000","null","2900000","Dec 31 1960","null","null","null","null","null","null","Frank Capra","63","7.2","2365"
"PCU","4333569","4333569","null","9000000","Apr 29 1994","PG-13","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","null","47","6","6967"
"Pete's Dragon","36000000","36000000","null","10000000","Nov 03 1977","null","null","null","null","null","null","null","50","6","4620"
"Pat Garrett and Billy the Kid","8000000","11000000","null","4638783","May 23 1973","R","null","null","null","null","null","Sam Peckinpah","null","7.3","6374"
"Poltergeist","74706019","121706019","null","10700000","Jun 04 1982","null","null","MGM","Original Screenplay","Horror","Fantasy","Tobe Hooper","86","7.4","32817"
"Poltergeist III","14114000","14114000","null","9500000","Jun 10 1988","null","null","MGM","Original Screenplay","Horror","Fantasy","null","14","3.8","5387"
"Phantasm II","7000000","7000000","null","3000000","Jul 08 1988","null","null","Universal","null","Horror","Fantasy","null","29","6.3","3781"
"Phenomenon","104636382","142836382","null","32000000","Jul 05 1996","PG","124","Walt Disney Pictures","Original Screenplay","Drama","Contemporary Fiction","Jon Turteltaub","50","6.3","26823"
"Philadelphia","77324422","201324422","null","26000000","Dec 22 1993","null","null","Sony/TriStar","Original Screenplay","Drama","Contemporary Fiction","Jonathan Demme","74","7.6","53283"
"The Phantom","17220599","17220599","null","45000000","Jun 07 1996","PG","100","Paramount Pictures","Based on Comic/Graphic Novel","Action","Super Hero","Simon Wincer","43","4.8","9477"
"Pi","3221152","4678513","null","68000","Jul 10 1998","R","null","Live Entertainment","Original Screenplay","Thriller/Suspense","Science Fiction","Darren Aronofsky","86","7.5","53699"
"Pink Flamingos","413802","413802","null","12000","Apr 11 1997","NC-17","null","Fine Line","null","null","null","John Waters","null","5.8","7947"
"The Pirate","2956000","2956000","null","3700000","Dec 31 1947","null","null","null","null","null","null","Vincente Minnelli","71","7.1","1635"
"The Planet of the Apes","33395426","33395426","null","5800000","Feb 08 1968","null","null","null","null","null","null","Franklin J. Schaffner","null","null","null"
"The Player","21706101","28876702","null","8000000","Apr 10 1992","R","null","Fine Line","Based on Book/Short Story","Black Comedy","Contemporary Fiction","Robert Altman","null","7.7","24451"
"Apollo 13","172070496","334100000","null","65000000","Jun 30 1995","PG","null","Universal","Based on Book/Short Story","Drama","Dramatization","Ron Howard","null","7.5","87605"
"Platoon","137963328","137963328","null","6000000","Dec 19 1986","null","null","Orion Pictures","Original Screenplay","Drama","Historical Fiction","Oliver Stone","86","8.2","108641"
"Panic","779137","889279","null","1000000","Dec 01 2000","R","null","Roxie Releasing","Original Screenplay","Drama","Contemporary Fiction","null","92","2.7","473"
"The Adventures of Pinocchio","15382170","36682170","null","25000000","Jul 26 1996","G","94","New Line","Based on Book/Short Story","Adventure","Fantasy","Steve Barron","27","5.3","1734"
"Pandora's Box","881950","881950","null","800000","Aug 09 2002","R","null","Kino International","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","null","4.6","386"
"Pink Narcissus","8231","8231","null","27000","Dec 24 1999","Not Rated","null","null","null","null","null","null","null","6","384"
"Penitentiary","287000","287000","null","100000","May 10 1980","null","null","null","Original Screenplay","Drama","Contemporary Fiction","null","null","5.5","233"
"The Pursuit of D.B. Cooper","2104164","2104164","null","12000000","Nov 13 1981","null","null","Universal","Based on Book/Short Story","Adventure","Contemporary Fiction","Roger Spottiswoode","null","5.8","442"
"Poetic Justice","27450453","27450453","null","14000000","Jul 23 1993","null","null","Sony/Columbia","Original Screenplay","Drama","Contemporary Fiction","John Singleton","36","5.1","3689"
"Porky's","109492484","109492484","null","4000000","Mar 19 1982","null","null","20th Century Fox","Original Screenplay","Comedy","Historical Fiction","null","null","5.8","15861"
"Peace, Propaganda and the Promised Land","4930","4930","null","70000","Jan 28 2005","Not Rated","null","Arab Film Distribution","Based on Real Life Events","Documentary","Factual","null","null","3","75"
"Popeye","49823037","49823037","null","20000000","Dec 12 1980","null","null","Paramount Pictures","null","null","null","Robert Altman","56","4.9","11433"
"Predator 2","28317513","54768418","null","35000000","Nov 21 1990","null","null","20th Century Fox","Original Screenplay","Action","Science Fiction","Stephen Hopkins","23","6","35411"
"Predator","59735548","98267558","null","18000000","Jun 12 1987","null","null","20th Century Fox","Original Screenplay","Action","Science Fiction","John McTiernan","76","7.8","88522"
"The Princess Bride","30857000","30857000","null","15000000","Sep 25 1987","null","null","20th Century Fox","Based on Book/Short Story","Adventure","Fantasy","Rob Reiner","95","8.1","123571"
"Prison","354704","354704","null","4000000","Mar 04 1988","null","null","Empire Pictures","Original Screenplay","Horror","null","Renny Harlin","null","5.8","1154"
"LÈon","19284974","45284974","null","16000000","Nov 18 1994","R","null","Sony Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Luc Besson","null","8.6","199762"
"Prophecy","21000000","21000000","null","12000000","Jun 15 1979","null","null","null","null","null","null","John Frankenheimer","25","4.7","1381"
"The Prince of Tides","74787599","74787599","null","30000000","Dec 25 1991","null","null","Sony/Columbia","Based on Book/Short Story","Drama","Contemporary Fiction","Barbra Streisand","74","6.4","6829"
"Proud","0","0","null","1000000","Sep 23 2005","PG","null","Castle Hill Productions","Based on Real Life Events","Drama","Dramatization","null","null","5.7","161"
"Pretty Woman","178406268","463400000","null","14000000","Mar 23 1990","null","null","Walt Disney Pictures","Original Screenplay","Romantic Comedy","Contemporary Fiction","Garry Marshall","62","6.7","60742"
"Partition","0","0","null","10000000","Feb 02 2007","null","null","null","Original Screenplay","Drama","Historical Fiction","null","40","6.6","1275"
"The Postman Always Rings Twice","12200000","44200000","null","12000000","Mar 20 1981","null","null","null","null","null","null","Bob Rafelson","70","6.4","6886"
"Peggy Sue Got Married","41382841","41382841","null","18000000","Oct 10 1986","null","null","Sony/TriStar","Original Screenplay","Comedy","Fantasy","Francis Ford Coppola","88","6.3","12457"
"Peter Pan","87400000","87400000","90536550","4000000","Feb 05 1953","PG","null","RKO Radio Pictures","Based on Book/Short Story","Adventure","Fantasy","null","83","7.1","16894"
"Pet Sematary","57469179","57469179","null","11500000","Apr 21 1989","null","null","Paramount Pictures","Based on Book/Short Story","Horror","Fantasy","null","50","6.3","19257"
"Patton","62500000","62500000","null","12000000","Jan 01 1970","null","null","null","null","null","null","Franklin J. Schaffner","97","8.1","39570"
"The Puffy Chair","194523","194523","null","15000","Jun 02 2006","R","null","IDP/Goldwyn/Roadside","null","null","null","null","null","6.4","1701"
"Pulp Fiction","107928762","212928762","null","8000000","Oct 14 1994","R","null","Miramax","Original Screenplay","Drama","Contemporary Fiction","Quentin Tarantino","94","8.9","417703"
"Paint Your Wagon","31678778","31678778","null","20000000","Oct 15 1969","PG-13","null","Paramount Pictures","Based on Play","Musical","Historical Fiction","null","23","6.5","5037"
"The Prisoner of Zenda","7000000","7000000","null","12500000","May 25 1979","null","null","Universal","Based on Book/Short Story","Comedy","Contemporary Fiction","null","null","4.6","406"
"The Perez Family","2794056","2794056","null","11000000","May 12 1995","R","null","Goldwyn Entertainment","Based on Book/Short Story","Comedy","Historical Fiction","Mira Nair","67","6","1177"
"Q","255000","255000","null","1200000","Nov 19 1982","null","null","United Film Distribution Co.","Original Screenplay","Horror","Fantasy","null","null","6.1","1899"
"The Quick and the Dead","18552460","18552460","null","32000000","Feb 10 1995","R","null","Sony Pictures","Original Screenplay","Western","Historical Fiction","Sam Raimi","56","6.3","27352"
"Quigley Down Under","21413105","21413105","null","20000000","Oct 19 1990","null","null","MGM","Original Screenplay","Western","Historical Fiction","Simon Wincer","60","6.5","6001"
"La Guerre du feu","20959585","20959585","null","12500000","Feb 12 1982","null","null","20th Century Fox","Based on Book/Short Story","Adventure","Historical Fiction","Jean-Jacques Annaud","null","7.4","6198"
"Quo Vadis?","30000000","30000000","null","8250000","Feb 23 1951","null","null","null","null","null","null","null","88","5.8","898"
"Rang De Basanti","2197694","29197694","null","5300000","Jan 27 2006","Not Rated","null","UTV Communications","Original Screenplay","Drama","Contemporary Fiction","null","null","8.1","12116"
"Robin and Marian","8000000","8000000","null","5000000","Mar 11 1976","null","null","null","null","null","null","null","68","6.5","4800"
"Ransom","136492681","308700000","null","70000000","Nov 08 1996","R","121","Walt Disney Pictures","Original Screenplay","Action","Contemporary Fiction","Ron Howard","70","6.6","38524"
"Rosemary's Baby","33395426","33395426","null","3200000","Jun 12 1968","null","null","null","null","null","null","Roman Polanski","98","8.1","50860"
"Rebecca","6000000","6000000","null","1288000","Dec 31 1939","null","null","MGM","Based on Book/Short Story","Drama","null","Alfred Hitchcock","100","8.4","35429"
"Robin Hood: Prince of Thieves","165493908","390500000","null","50000000","Jun 14 1991","PG-13","null","Warner Bros.","Traditional/Legend/Fairytale","Adventure","Historical Fiction","Kevin Reynolds","56","6.7","54480"
"Rumble in the Bronx","32281907","36238752","null","7500000","Feb 23 1996","R","100","New Line","Original Screenplay","Action","Contemporary Fiction","null","null","null","null"
"Rob Roy","31390587","31390587","null","28000000","Apr 07 1995","R","null","MGM","Based on Real Life Events","Drama","Dramatization","Michael Caton-Jones","71","6.8","15630"
"Raging Bull","23380203","23380203","null","18000000","Nov 14 1980","Not Rated","null","MGM","Based on Real Life Events","Drama","Dramatization","Martin Scorsese","98","8.4","90015"
"Richard III","2684904","4204857","null","9200000","Dec 29 1995","R","null","MGM","Based on Play","Drama","Historical Fiction","null","95","7.5","6625"
"Raising Cain","21171695","21171695","null","11000000","Aug 07 1992","null","null","Universal","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Brian De Palma","53","5.7","5135"
"RoboCop","53424681","53424681","null","13000000","Jul 17 1987","null","null","Orion Pictures","Original Screenplay","Action","Science Fiction","Paul Verhoeven","88","7.6","52898"
"RoboCop 3","10696210","10696210","null","22000000","Nov 05 1993","null","null","Orion Pictures","Original Screenplay","Action","Science Fiction","null","null","3.4","13310"
"Ri¢hie Ri¢h","38087756","38087756","null","40000000","Dec 21 1994","PG","null","Warner Bros.","Original Screenplay","Comedy","Contemporary Fiction","Donald Petrie","25","4.7","12687"
"Radio Days","14792779","14792779","null","16000000","Jan 30 1987","null","null","Orion Pictures","Original Screenplay","Comedy","Historical Fiction","Woody Allen","95","7.5","10839"
"Radio Flyer","4651977","4651977","null","35000000","Feb 21 1992","null","null","Sony Pictures","Original Screenplay","Drama","Historical Fiction","Richard Donner","43","6.5","6210"
"Reservoir Dogs","2832029","2832029","18806836","1200000","Oct 23 1992","R","null","Miramax","null","null","null","Quentin Tarantino","96","8.4","212985"
"Raiders of the Lost Ark","245034358","386800358","19608618","20000000","Jun 12 1981","PG","null","Paramount Pictures","Original Screenplay","Adventure","Historical Fiction","Steven Spielberg","null","8.7","242661"
